name,description
Ákos Ráthonyi,"Ákos Ráthonyi (26 March 1908 – 6 January 1969) was a Hungarian film director and screenwriter. He directed 42 films between 1936 and 1968. He was born in Budapest, Hungary and died in Munich, Germany."
Álvaro Arzú,"Álvaro Enrique Arzú Yrigoyen (born March 14, 1946, in Guatemala City) was the 32nd President of Guatemala from January 14, 1996 until January 14, 2000. He has been elected Mayor of Guatemala City on five occasions: in 1982, but was prevented from assuming office because of a coup d'état; in 1986, this time assuming and serving his mandate; again in January 2004; and he was re-elected for a third effective term in September 2007 with 55 percent of the popular vote. Arzú was re-elected in September 2011 for a third consecutive term as mayor of the capital, which began in January 2012."
Álvaro Colom,"Álvaro Colom Caballeros (born 15 June 1951) is a Guatemalan politician who was the President of Guatemala from 2008 to 2012, as well as leader of the social-democratic National Unity of Hope (UNE)."
Álvaro Rafael González,Álvaro Rafael González Luengo (born 29 October 1984 in Montevideo) is a Uruguayan football Midfielder who currently plays for Lazio in the Italian Serie A.
Álvaro de Castro,Álvaro Xavier de Castro was Prime Minister of Portugal from 20 November to 30 November 1920 and from 18 December 1923 to 6 July 1924.
Ángel Berlanga,Ángel Luis Berlanga Vina (born 24 February 1987 in Madrid) is an Spanish footballer who plays as a centerback for Sporting Clube de Goa in the Indian I-League.
Ángel María Villar,"Ángel María Villar Llona (born 21 January 1950) is a Spanish retired professional footballer who played as a midfielder. After having represented Athletic Bilbao during a full decade (appearing in 361 official games and scoring 11 goals), he went on to serve an even larger stint as president of the Spanish Football Federation."
Ángel Suquía Goicoechea,"Angel Suquía Goicoechea (2 October 1916 – 13 July 2006) was a Catholic Cardinal who served as archbishop of Madrid from 1983 until 1994. He was educated at the La Salle Christian Brothers at Beasain from 1925 until 1927. He entered the Minor Seminary of Saturrarán, Motrico, Guipúzcoa, and remained there until 1931, whereupon he entered the Major Seminary of Vitoria, until 1936. When the Spanish Civil War started in 1936, he was destined to the fort of Guadalupe as a soldiers' instructor. In 1939, he travelled to the Benedictine monastery of Maria Laach in Germany, to study liturgy but when the Second World War started in that same year, he quickly returned to Spain. He entered the Pontifical Gregorian University in Rome in 1946 remaining there until 1949 where he obtained a doctorate in theology with the highest grades with his thesis on La santa Misa en la espiritualidad de San Ignacio de Loyola. He was ordained to the priesthood on 7 July 1940. On 17 May 1966 Pope Paul VI appointed him to be the Bishop of Almeria. He served as bishop of Málaga from 1969 to 1973. He became Archbishop of Santiago de Compostela on 13 April 1973. On 12 April 1983 he was chosen to succeed Cardinal Vicente Enrique y Tarancón as Archbishop of Madrid by Pope John Paul II. On 25 May 1985 he was created and proclaimed Cardinal-Priest of Gran Madre di Dio. He remained at the see of Madrid until 1994 when he reached the age of 77."
Ángel di María,"Ángel Fabián di María Hernández (born 14 February 1988) is an Argentine professional footballer who currently plays as a winger for Spanish La Liga club Real Madrid and the Argentine national team. He is nicknamed El Angelito, Di Magia, El Flaco, El Pibito and Fideo, Spanish for noodle."
Árpád Göncz,"Árpád Göncz (born February 10, 1922 in Budapest) is a Hungarian liberal politician and former President of Hungary (May 2, 1990–August 4, 2000). Göncz played a role in the Hungarian Revolution of 1956. He was also founding member and Vice Chairman of Alliance of Free Democrats (SZDSZ) and Speaker of the National Assembly of Hungary before becoming President. He is currently a member of the international advisory council of the Victims of Communism Memorial Foundation."
Árpád Szakasits,"Árpád Szakasits (Budapest, 6 December 1888 – Budapest, 3 May 1965) was a Hungarian Social Democrat, then Communist political figure. He served as the President of Hungary from 2 August 1948 to 23 August 1949. He was the first Chairman of the Hungarian Presidential Council, which was established on 23 August 1949, as a replacement for the post of the President, in accordance with the new constitution proclaimed in 1949. He served until 26 April 1950. Szakasits was an Esperantist for over 40 years, attended Esperanto congresses, and was a member of the International Patron Committee for the World Esperanto Congress in 1959."
Ásgeir Sigurvinsson,"Ásgeir ""Sigi"" Sigurvinsson (born 8 May 1955 in Vestmannaeyjar) is an Icelandic football coach and a former player. The attacking midfielder was one of the first, and certainly one of the most celebrated, Icelandic professional football players. He went from Iceland to Belgium but spent the latter half of his career in Germany."
Åsne Seierstad,"Åsne Seierstad (born 10 February 1970) is a Norwegian freelance journalist and writer, best known for her accounts of everyday life in war zones – most notably Kabul after 2001, Baghdad in 2003 and the ruined Grozny in 2006."
