name,description
אלבארו Arzu,אלווארו אנריקה Arzu איריגוז'ן (נולד ב 14 מרס 1946
אלבארו קולום,אלבארו קולום Caballeros (נולד 15 יוני 1951 ) הוא פוליטיקאי מגואטמלה שהיהנשיא גואטמלה 2008-2012 
אלבארו רפאל גונזלס,אלבארו רפאל גונזלס Luengo (נולד 29 אוקטובר 1984 במונטווידאו ) הוא כקשר כדורגל אורוגוואי שמשחק כעת ללאציובסרייה א ' האיטלקית
אלווארו דה קסטרו,אלבארו חאווייר דה קסטרו היה ראש הממשלה של פורטוגלמנובמבר 20 - נובמבר 30 1920 ומתאריך 18 בדצמבר 1
אנחל Berlanga,אנחל לואיס Berlanga Vina (נולד 24 פבואר 1987 במדריד ) הוא כדורגלן ספרדי שמשחקכcenterbackלספורטינג גואהבהודית I- הליגה.
אנחל מריה וילאר,אנחל מריה וילאר Llona ( נולד ב -21 ינואר 1950) הוא כדורגלן מקצועי בדימוס ספרדי ששיחק כקשר . 
אנחל Suquía Goicoechea,אנג'ל Suquía Goicoechea ( 2 אוקטובר 1916 - 13 יולי 2006) היהקרדינל קתולי שכיהן כארכיבישוף של מדריד מ 1983 עד 1994 הוא התחנךברדרס La Salle הנוצרי בBeasain 1925 עד 1927 הוא נכנס לבית המדרש קטן של Saturrarán . . 
אנחל די מריה,אנחל Fabián די מריה הרננדז (נולד 14 פבואר 1988 ) הואכדורגלן מקצועי ארגנטיני שכרגע משחקכקיצונילמועדון הספרדי לה הליגה ריאל מדריד ובנבחרת ארגנטינה. 
Szakasits Árpád,Szakasits Árpád ( בודפשט 
Asgeir Sigurvinsson,\ הסיג \ Sigurvinsson Asgeir (נולד ב 8 מאי 1955בVestmannaeyjar ) הואמאמן כדורגל איסלנדיושחקן לשעבר. 
Åsne סיירסטאד,Åsne סיירסטאד (נולד ב -10 פברואר 1970) הוא עיתונאי נורבגי עצמאית וסופר
Ælle של סאסקס,Ælle מתועד במקורות קדומיםכמלך הראשון שלהסקסונים הדרום 
Æthelbald של מרסיה,Æthelbald (מאוית גם אתלבאלד המל 
Æthelbald וסקס, 
Æthelberht השני של מזרח אנגליה,Æthelberht 
